Method,Image,Kernel Size,Time (s),Status,Output Path
Sequential,8K_download,3,7.96,Success,Output_Performance/kernel_3/8K_download_sequential.jpg
OpenMP,8K_download,3,1.72,Success,Output_Performance/kernel_3/8K_download_openmp.jpg
MPI,8K_download,3,5.77,Error,Output_Performance/kernel_3/8K_download_mpi.jpg
Sequential,8K_lena,3,7.47,Success,Output_Performance/kernel_3/8K_lena_sequential.jpg
OpenMP,8K_lena,3,1.84,Success,Output_Performance/kernel_3/8K_lena_openmp.jpg
MPI,8K_lena,3,5.90,Error,Output_Performance/kernel_3/8K_lena_mpi.jpg
Sequential,4K_lena,3,2.52,Success,Output_Performance/kernel_3/4K_lena_sequential.jpg
OpenMP,4K_lena,3,1.17,Success,Output_Performance/kernel_3/4K_lena_openmp.jpg
MPI,4K_lena,3,2.36,Error,Output_Performance/kernel_3/4K_lena_mpi.jpg
Sequential,4K_download,3,2.47,Success,Output_Performance/kernel_3/4K_download_sequential.jpg
OpenMP,4K_download,3,1.14,Success,Output_Performance/kernel_3/4K_download_openmp.jpg
MPI,4K_download,3,2.34,Error,Output_Performance/kernel_3/4K_download_mpi.jpg
Sequential,Quad_HD_lena,3,1.64,Success,Output_Performance/kernel_3/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,3,1.03,Success,Output_Performance/kernel_3/Quad_HD_lena_openmp.jpg
MPI,Quad_HD_lena,3,1.73,Error,Output_Performance/kernel_3/Quad_HD_lena_mpi.jpg
Sequential,Quad_HD_download,3,1.59,Success,Output_Performance/kernel_3/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,3,0.99,Success,Output_Performance/kernel_3/Quad_HD_download_openmp.jpg
MPI,Quad_HD_download,3,1.62,Error,Output_Performance/kernel_3/Quad_HD_download_mpi.jpg
Sequential,2K_lena,3,1.34,Success,Output_Performance/kernel_3/2K_lena_sequential.jpg
OpenMP,2K_lena,3,0.98,Success,Output_Performance/kernel_3/2K_lena_openmp.jpg
MPI,2K_lena,3,1.48,Error,Output_Performance/kernel_3/2K_lena_mpi.jpg
Sequential,2K_download,3,1.30,Success,Output_Performance/kernel_3/2K_download_sequential.jpg
OpenMP,2K_download,3,0.94,Success,Output_Performance/kernel_3/2K_download_openmp.jpg
MPI,2K_download,3,1.46,Error,Output_Performance/kernel_3/2K_download_mpi.jpg
Sequential,Full_HD_download,3,1.28,Success,Output_Performance/kernel_3/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,3,0.95,Success,Output_Performance/kernel_3/Full_HD_download_openmp.jpg
MPI,Full_HD_download,3,1.43,Error,Output_Performance/kernel_3/Full_HD_download_mpi.jpg
Sequential,Full_HD_lena,3,1.30,Success,Output_Performance/kernel_3/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,3,0.98,Success,Output_Performance/kernel_3/Full_HD_lena_openmp.jpg
MPI,Full_HD_lena,3,1.47,Error,Output_Performance/kernel_3/Full_HD_lena_mpi.jpg
Sequential,HD_lena,3,1.07,Success,Output_Performance/kernel_3/HD_lena_sequential.jpg
OpenMP,HD_lena,3,0.93,Success,Output_Performance/kernel_3/HD_lena_openmp.jpg
MPI,HD_lena,3,1.30,Error,Output_Performance/kernel_3/HD_lena_mpi.jpg
Sequential,HD_download,3,1.06,Success,Output_Performance/kernel_3/HD_download_sequential.jpg
OpenMP,HD_download,3,0.92,Success,Output_Performance/kernel_3/HD_download_openmp.jpg
MPI,HD_download,3,1.28,Error,Output_Performance/kernel_3/HD_download_mpi.jpg
Sequential,VGA_download,3,0.96,Success,Output_Performance/kernel_3/VGA_download_sequential.jpg
OpenMP,VGA_download,3,0.93,Success,Output_Performance/kernel_3/VGA_download_openmp.jpg
MPI,VGA_download,3,1.21,Error,Output_Performance/kernel_3/VGA_download_mpi.jpg
Sequential,VGA_lena,3,0.95,Success,Output_Performance/kernel_3/VGA_lena_sequential.jpg
OpenMP,VGA_lena,3,0.91,Success,Output_Performance/kernel_3/VGA_lena_openmp.jpg
MPI,VGA_lena,3,1.19,Error,Output_Performance/kernel_3/VGA_lena_mpi.jpg
Sequential,thumbnail_lena,3,0.88,Success,Output_Performance/kernel_3/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,3,0.91,Success,Output_Performance/kernel_3/thumbnail_lena_openmp.jpg
MPI,thumbnail_lena,3,1.10,Error,Output_Performance/kernel_3/thumbnail_lena_mpi.jpg
Sequential,thumbnail_download,3,0.88,Success,Output_Performance/kernel_3/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,3,0.90,Success,Output_Performance/kernel_3/thumbnail_download_openmp.jpg
MPI,thumbnail_download,3,1.16,Error,Output_Performance/kernel_3/thumbnail_download_mpi.jpg
Sequential,8K_download,5,13.52,Success,Output_Performance/kernel_5/8K_download_sequential.jpg
OpenMP,8K_download,5,2.37,Success,Output_Performance/kernel_5/8K_download_openmp.jpg
MPI,8K_download,5,11.77,Error,Output_Performance/kernel_5/8K_download_mpi.jpg
Sequential,8K_lena,5,13.90,Success,Output_Performance/kernel_5/8K_lena_sequential.jpg
OpenMP,8K_lena,5,2.64,Success,Output_Performance/kernel_5/8K_lena_openmp.jpg
MPI,8K_lena,5,11.74,Error,Output_Performance/kernel_5/8K_lena_mpi.jpg
Sequential,4K_lena,5,4.11,Success,Output_Performance/kernel_5/4K_lena_sequential.jpg
OpenMP,4K_lena,5,1.30,Success,Output_Performance/kernel_5/4K_lena_openmp.jpg
MPI,4K_lena,5,3.79,Error,Output_Performance/kernel_5/4K_lena_mpi.jpg
Sequential,4K_download,5,3.99,Success,Output_Performance/kernel_5/4K_download_sequential.jpg
OpenMP,4K_download,5,1.20,Success,Output_Performance/kernel_5/4K_download_openmp.jpg
MPI,4K_download,5,3.70,Error,Output_Performance/kernel_5/4K_download_mpi.jpg
Sequential,Quad_HD_lena,5,2.32,Success,Output_Performance/kernel_5/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,5,1.07,Success,Output_Performance/kernel_5/Quad_HD_lena_openmp.jpg
MPI,Quad_HD_lena,5,2.26,Error,Output_Performance/kernel_5/Quad_HD_lena_mpi.jpg
Sequential,Quad_HD_download,5,2.25,Success,Output_Performance/kernel_5/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,5,1.04,Success,Output_Performance/kernel_5/Quad_HD_download_openmp.jpg
MPI,Quad_HD_download,5,2.35,Error,Output_Performance/kernel_5/Quad_HD_download_mpi.jpg
Sequential,2K_lena,5,1.73,Success,Output_Performance/kernel_5/2K_lena_sequential.jpg
OpenMP,2K_lena,5,0.99,Success,Output_Performance/kernel_5/2K_lena_openmp.jpg
MPI,2K_lena,5,1.83,Error,Output_Performance/kernel_5/2K_lena_mpi.jpg
Sequential,2K_download,5,1.71,Success,Output_Performance/kernel_5/2K_download_sequential.jpg
OpenMP,2K_download,5,0.97,Success,Output_Performance/kernel_5/2K_download_openmp.jpg
MPI,2K_download,5,1.82,Error,Output_Performance/kernel_5/2K_download_mpi.jpg
Sequential,Full_HD_download,5,1.64,Success,Output_Performance/kernel_5/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,5,1.04,Success,Output_Performance/kernel_5/Full_HD_download_openmp.jpg
MPI,Full_HD_download,5,1.82,Error,Output_Performance/kernel_5/Full_HD_download_mpi.jpg
Sequential,Full_HD_lena,5,1.67,Success,Output_Performance/kernel_5/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,5,0.97,Success,Output_Performance/kernel_5/Full_HD_lena_openmp.jpg
MPI,Full_HD_lena,5,1.75,Error,Output_Performance/kernel_5/Full_HD_lena_mpi.jpg
Sequential,HD_lena,5,1.22,Success,Output_Performance/kernel_5/HD_lena_sequential.jpg
OpenMP,HD_lena,5,0.91,Success,Output_Performance/kernel_5/HD_lena_openmp.jpg
MPI,HD_lena,5,1.38,Error,Output_Performance/kernel_5/HD_lena_mpi.jpg
Sequential,HD_download,5,1.24,Success,Output_Performance/kernel_5/HD_download_sequential.jpg
OpenMP,HD_download,5,0.90,Success,Output_Performance/kernel_5/HD_download_openmp.jpg
MPI,HD_download,5,1.51,Error,Output_Performance/kernel_5/HD_download_mpi.jpg
Sequential,VGA_download,5,0.98,Success,Output_Performance/kernel_5/VGA_download_sequential.jpg
OpenMP,VGA_download,5,0.90,Success,Output_Performance/kernel_5/VGA_download_openmp.jpg
MPI,VGA_download,5,1.22,Error,Output_Performance/kernel_5/VGA_download_mpi.jpg
Sequential,VGA_lena,5,0.99,Success,Output_Performance/kernel_5/VGA_lena_sequential.jpg
OpenMP,VGA_lena,5,0.89,Success,Output_Performance/kernel_5/VGA_lena_openmp.jpg
MPI,VGA_lena,5,1.17,Error,Output_Performance/kernel_5/VGA_lena_mpi.jpg
Sequential,thumbnail_lena,5,0.88,Success,Output_Performance/kernel_5/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,5,0.89,Success,Output_Performance/kernel_5/thumbnail_lena_openmp.jpg
MPI,thumbnail_lena,5,1.07,Error,Output_Performance/kernel_5/thumbnail_lena_mpi.jpg
Sequential,thumbnail_download,5,0.86,Success,Output_Performance/kernel_5/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,5,0.87,Success,Output_Performance/kernel_5/thumbnail_download_openmp.jpg
MPI,thumbnail_download,5,1.12,Error,Output_Performance/kernel_5/thumbnail_download_mpi.jpg
Sequential,8K_download,7,22.42,Success,Output_Performance/kernel_7/8K_download_sequential.jpg
OpenMP,8K_download,7,3.22,Success,Output_Performance/kernel_7/8K_download_openmp.jpg
MPI,8K_download,7,20.27,Error,Output_Performance/kernel_7/8K_download_mpi.jpg
