Method,Image,Kernel Size,Time (s),Status,Output Path
Sequential,8K_download,3,6.33,Success,Output_Performance/kernel_3/8K_download_sequential.jpg
OpenMP,8K_download,3,1.41,Success,Output_Performance/kernel_3/8K_download_openmp.jpg
Sequential,8K_lena,3,7.70,Success,Output_Performance/kernel_3/8K_lena_sequential.jpg
OpenMP,8K_lena,3,2.02,Success,Output_Performance/kernel_3/8K_lena_openmp.jpg
Sequential,4K_lena,3,2.61,Success,Output_Performance/kernel_3/4K_lena_sequential.jpg
OpenMP,4K_lena,3,1.21,Success,Output_Performance/kernel_3/4K_lena_openmp.jpg
Sequential,4K_download,3,2.60,Success,Output_Performance/kernel_3/4K_download_sequential.jpg
OpenMP,4K_download,3,1.25,Success,Output_Performance/kernel_3/4K_download_openmp.jpg
Sequential,Quad_HD_lena,3,1.70,Success,Output_Performance/kernel_3/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,3,1.13,Success,Output_Performance/kernel_3/Quad_HD_lena_openmp.jpg
Sequential,Quad_HD_download,3,2.00,Success,Output_Performance/kernel_3/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,3,1.08,Success,Output_Performance/kernel_3/Quad_HD_download_openmp.jpg
Sequential,2K_lena,3,1.42,Success,Output_Performance/kernel_3/2K_lena_sequential.jpg
OpenMP,2K_lena,3,1.17,Success,Output_Performance/kernel_3/2K_lena_openmp.jpg
Sequential,2K_download,3,1.34,Success,Output_Performance/kernel_3/2K_download_sequential.jpg
OpenMP,2K_download,3,1.04,Success,Output_Performance/kernel_3/2K_download_openmp.jpg
Sequential,Full_HD_download,3,1.34,Success,Output_Performance/kernel_3/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,3,1.01,Success,Output_Performance/kernel_3/Full_HD_download_openmp.jpg
Sequential,Full_HD_lena,3,1.34,Success,Output_Performance/kernel_3/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,3,1.03,Success,Output_Performance/kernel_3/Full_HD_lena_openmp.jpg
Sequential,HD_lena,3,1.16,Success,Output_Performance/kernel_3/HD_lena_sequential.jpg
OpenMP,HD_lena,3,1.28,Success,Output_Performance/kernel_3/HD_lena_openmp.jpg
Sequential,HD_download,3,1.16,Success,Output_Performance/kernel_3/HD_download_sequential.jpg
OpenMP,HD_download,3,1.00,Success,Output_Performance/kernel_3/HD_download_openmp.jpg
Sequential,VGA_download,3,1.08,Success,Output_Performance/kernel_3/VGA_download_sequential.jpg
OpenMP,VGA_download,3,0.97,Success,Output_Performance/kernel_3/VGA_download_openmp.jpg
Sequential,VGA_lena,3,1.00,Success,Output_Performance/kernel_3/VGA_lena_sequential.jpg
OpenMP,VGA_lena,3,1.02,Success,Output_Performance/kernel_3/VGA_lena_openmp.jpg
Sequential,thumbnail_lena,3,0.99,Success,Output_Performance/kernel_3/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,3,0.97,Success,Output_Performance/kernel_3/thumbnail_lena_openmp.jpg
Sequential,thumbnail_download,3,0.94,Success,Output_Performance/kernel_3/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,3,0.95,Success,Output_Performance/kernel_3/thumbnail_download_openmp.jpg
Sequential,8K_download,5,13.90,Success,Output_Performance/kernel_5/8K_download_sequential.jpg
OpenMP,8K_download,5,2.51,Success,Output_Performance/kernel_5/8K_download_openmp.jpg
Sequential,8K_lena,5,14.18,Success,Output_Performance/kernel_5/8K_lena_sequential.jpg
OpenMP,8K_lena,5,2.72,Success,Output_Performance/kernel_5/8K_lena_openmp.jpg
Sequential,4K_lena,5,4.20,Success,Output_Performance/kernel_5/4K_lena_sequential.jpg
OpenMP,4K_lena,5,1.44,Success,Output_Performance/kernel_5/4K_lena_openmp.jpg
Sequential,4K_download,5,4.11,Success,Output_Performance/kernel_5/4K_download_sequential.jpg
OpenMP,4K_download,5,1.41,Success,Output_Performance/kernel_5/4K_download_openmp.jpg
Sequential,Quad_HD_lena,5,2.45,Success,Output_Performance/kernel_5/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,5,1.24,Success,Output_Performance/kernel_5/Quad_HD_lena_openmp.jpg
Sequential,Quad_HD_download,5,2.41,Success,Output_Performance/kernel_5/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,5,1.12,Success,Output_Performance/kernel_5/Quad_HD_download_openmp.jpg
Sequential,2K_lena,5,1.82,Success,Output_Performance/kernel_5/2K_lena_sequential.jpg
OpenMP,2K_lena,5,1.08,Success,Output_Performance/kernel_5/2K_lena_openmp.jpg
Sequential,2K_download,5,1.95,Success,Output_Performance/kernel_5/2K_download_sequential.jpg
OpenMP,2K_download,5,1.09,Success,Output_Performance/kernel_5/2K_download_openmp.jpg
Sequential,Full_HD_download,5,1.75,Success,Output_Performance/kernel_5/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,5,1.05,Success,Output_Performance/kernel_5/Full_HD_download_openmp.jpg
Sequential,Full_HD_lena,5,1.85,Success,Output_Performance/kernel_5/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,5,1.05,Success,Output_Performance/kernel_5/Full_HD_lena_openmp.jpg
Sequential,HD_lena,5,1.29,Success,Output_Performance/kernel_5/HD_lena_sequential.jpg
OpenMP,HD_lena,5,0.99,Success,Output_Performance/kernel_5/HD_lena_openmp.jpg
Sequential,HD_download,5,1.27,Success,Output_Performance/kernel_5/HD_download_sequential.jpg
OpenMP,HD_download,5,0.97,Success,Output_Performance/kernel_5/HD_download_openmp.jpg
Sequential,VGA_download,5,1.03,Success,Output_Performance/kernel_5/VGA_download_sequential.jpg
OpenMP,VGA_download,5,0.95,Success,Output_Performance/kernel_5/VGA_download_openmp.jpg
Sequential,VGA_lena,5,1.05,Success,Output_Performance/kernel_5/VGA_lena_sequential.jpg
OpenMP,VGA_lena,5,0.95,Success,Output_Performance/kernel_5/VGA_lena_openmp.jpg
Sequential,thumbnail_lena,5,0.93,Success,Output_Performance/kernel_5/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,5,0.93,Success,Output_Performance/kernel_5/thumbnail_lena_openmp.jpg
Sequential,thumbnail_download,5,1.00,Success,Output_Performance/kernel_5/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,5,0.93,Success,Output_Performance/kernel_5/thumbnail_download_openmp.jpg
Sequential,8K_download,7,22.89,Success,Output_Performance/kernel_7/8K_download_sequential.jpg
OpenMP,8K_download,7,3.51,Success,Output_Performance/kernel_7/8K_download_openmp.jpg
Sequential,8K_lena,7,23.19,Success,Output_Performance/kernel_7/8K_lena_sequential.jpg
OpenMP,8K_lena,7,3.87,Success,Output_Performance/kernel_7/8K_lena_openmp.jpg
Sequential,4K_lena,7,6.46,Success,Output_Performance/kernel_7/4K_lena_sequential.jpg
OpenMP,4K_lena,7,1.70,Success,Output_Performance/kernel_7/4K_lena_openmp.jpg
Sequential,4K_download,7,6.35,Success,Output_Performance/kernel_7/4K_download_sequential.jpg
OpenMP,4K_download,7,1.57,Success,Output_Performance/kernel_7/4K_download_openmp.jpg
Sequential,Quad_HD_lena,7,3.46,Success,Output_Performance/kernel_7/Quad_HD_lena_sequential.jpg
OpenMP,Quad_HD_lena,7,1.34,Success,Output_Performance/kernel_7/Quad_HD_lena_openmp.jpg
Sequential,Quad_HD_download,7,3.35,Success,Output_Performance/kernel_7/Quad_HD_download_sequential.jpg
OpenMP,Quad_HD_download,7,1.22,Success,Output_Performance/kernel_7/Quad_HD_download_openmp.jpg
Sequential,2K_lena,7,2.44,Success,Output_Performance/kernel_7/2K_lena_sequential.jpg
OpenMP,2K_lena,7,1.22,Success,Output_Performance/kernel_7/2K_lena_openmp.jpg
Sequential,2K_download,7,2.36,Success,Output_Performance/kernel_7/2K_download_sequential.jpg
OpenMP,2K_download,7,1.12,Success,Output_Performance/kernel_7/2K_download_openmp.jpg
Sequential,Full_HD_download,7,2.37,Success,Output_Performance/kernel_7/Full_HD_download_sequential.jpg
OpenMP,Full_HD_download,7,1.12,Success,Output_Performance/kernel_7/Full_HD_download_openmp.jpg
Sequential,Full_HD_lena,7,2.35,Success,Output_Performance/kernel_7/Full_HD_lena_sequential.jpg
OpenMP,Full_HD_lena,7,1.13,Success,Output_Performance/kernel_7/Full_HD_lena_openmp.jpg
Sequential,HD_lena,7,1.54,Success,Output_Performance/kernel_7/HD_lena_sequential.jpg
OpenMP,HD_lena,7,1.02,Success,Output_Performance/kernel_7/HD_lena_openmp.jpg
Sequential,HD_download,7,1.55,Success,Output_Performance/kernel_7/HD_download_sequential.jpg
OpenMP,HD_download,7,1.07,Success,Output_Performance/kernel_7/HD_download_openmp.jpg
Sequential,VGA_download,7,1.12,Success,Output_Performance/kernel_7/VGA_download_sequential.jpg
OpenMP,VGA_download,7,0.95,Success,Output_Performance/kernel_7/VGA_download_openmp.jpg
Sequential,VGA_lena,7,1.14,Success,Output_Performance/kernel_7/VGA_lena_sequential.jpg
OpenMP,VGA_lena,7,0.96,Success,Output_Performance/kernel_7/VGA_lena_openmp.jpg
Sequential,thumbnail_lena,7,0.93,Success,Output_Performance/kernel_7/thumbnail_lena_sequential.jpg
OpenMP,thumbnail_lena,7,1.07,Success,Output_Performance/kernel_7/thumbnail_lena_openmp.jpg
Sequential,thumbnail_download,7,0.95,Success,Output_Performance/kernel_7/thumbnail_download_sequential.jpg
OpenMP,thumbnail_download,7,0.96,Success,Output_Performance/kernel_7/thumbnail_download_openmp.jpg
Sequential,8K_download,9,35.52,Success,Output_Performance/kernel_9/8K_download_sequential.jpg
